Name,lat,lon,Routes
87th Street & Dauphin/Ingleside,41.736645001,-87.60132199899999,87
65th Street & Long,41.774417971,-87.75665020299999,165
Lawrence & Lawndale,41.968217656,-87.720802335,81
61st Street & Ellis,41.784046678,-87.60126456100001,59
900 W Roosevelt,41.867219209,-87.649431444,12
Montrose & Winchester,41.961531076,-87.677373726,78
Stony Island & Anthony,41.748683515,-87.585401567,28
Commercial & 102nd Street,41.709961095,-87.55218460100001,71
Yates & Exchange,41.765663033,-87.566420389,71
Austin & Fulton/Pleasant,41.885678023000004,-87.774752889,91
Ashland Orange Line Station,41.839103216999995,-87.665255395,31
71st Street & Merrill,41.766323,-87.572451999,71
Diversey & Mildred,41.932745899000004,-87.651314502,76
31st Street & Halsted,41.838102093,-87.646124058,31
Wentworth & 26th Street,41.845315,-87.631745001,24
Garfield & Damen,41.793969244,-87.67457833700001,55
Fullerton & Kostner,41.924456622,-87.736478192,74
Chicago & State (Red Line),41.896741036,-87.62802243899999,66
115th Street & Halsted,41.685153479,-87.64256227799999,115
Madison & Menard,41.880265563,-87.769660863,20
Grand & Hamlin,41.904396606999995,-87.72182109999999,65
Belmont & Menard,41.93857548,-87.771268188,77
Montrose & Western,41.961386184,-87.68850147399999,78
Lunt & Clark,42.009035311999995,-87.67418355,96
Ontario & State,41.893342872,-87.62837779899999,125
55th Street & Keeler,41.793240737,-87.727949148,55
106th Street & Avenue O,41.702815466,-87.53999098799999,"26,100"
106th Street & Muskegon,41.70284488,-87.554663997,"26,100"
Pershing & Halsted,41.823539889,-87.646344488,39
Halsted & 47th Street,41.809109000999996,-87.645432999,"8,44"
Pulaski & Foster,41.975383384000004,-87.72810981399999,53
Wentworth & 71st Street,41.765295,-87.629689999,24
Pulaski & Harrison (Blue Line),41.873373043,-87.725312899,53
18th Street & Racine,41.857894,-87.656531,18
93rd Street & Jeffery,41.726056151,-87.575591339,"N5,95"
Irving Park & Clarendon,41.954510905,-87.649409812,"80,135,148"
119th Street & Halsted,41.677742849,-87.642142261,119
Pershing & Vincennes,41.823804024,-87.61278769399999,39
Irving Park & Kimball,41.953968284,-87.712792029,80
California & Foster,41.976025755,-87.698841825,93
Montrose & Long,41.960635758,-87.76215121700001,78
Diversey & Kedzie,41.932118183,-87.70730498399999,76
87th Street & Dobson,41.736782001,-87.598956999,87
Madison & Kostner,41.880720531,-87.735738525,20
Devon & Sacramento,41.997534512,-87.704697394,155
Madison & Laramie,41.880467554,-87.755334101,20
69th Street & Halsted,41.76890717,-87.644377367,67
Foster & Cicero,41.975262495,-87.748219619,92
51st Street & State,41.801872257,-87.626114295,15
Belmont & Menard,41.93845382,-87.77112735799999,77
Polk & Wood,41.871466999999996,-87.671593,157
Diversey Brown Line Station,41.932578454,-87.65362119299999,76
79th Street & Lawndale,41.749517276999995,-87.71461123700001,79
Roosevelt & Clark,41.867238608,-87.630606106,"12,18,N62"
47th Street & Damen,41.808446656,-87.67483486200001,"47,48"
Chicago & Homan,41.895432989,-87.711042489,66
71st Street & Yates,41.7658,-87.566643001,71
Devon & Kedzie,41.997326704,-87.70904956700001,155
Addison & Laramie,41.945903587,-87.757035595,152
Division & Wells,41.903785035,-87.63465985299999,70
Jackson & Keeler,41.876963,-87.7302,126
87th Street & Halsted,41.735976478000005,-87.643131134,"24,87"
Division & Wood,41.903194896,-87.67209194799999,70
Lunt & Clark,42.008930995,-87.674091478,96
59th Street & California,41.786335619,-87.69374132899999,59
69th Street & King Drive,41.769280546,-87.615482531,"N5,30,67"
Harrison & Oakley,41.873882,-87.683913,7
